degreeAccronym|degreeName 
BTTL|Bachelor of Technology (Trade and Technology Leadership)
BTTM|Bachelor in Tourism and Travel Management
BTTM|Bachelor of Travel and Tourism Management
BTTS|Bachelor of Travel and Tourism Studies
BUMS|Bachelor Of Unani Medicine And Surgery
BVetMed|Bachelor of Veterinary Medicine
BVMS|Bachelor of Veterinary Medicine and Surgery
BVS|Bachelor Of Veterinary Science
BVS|Bachelor of Veterinary Surgery
BVSc|Bachelor of Veterinary Science
BVScAH|Bachelor of Veterinary Science and Animal Husbandry
C.Ed.A.|Associate Degree in Christian Education
C.Ed.B.|Bachelor Degree in Christian Education
C.Ed.D.|Doctor of Christian Education
C.Ed.M.|Master of Christian Education
CAC|Certified Addiction Counselor
CACS|Certificate of Advanced Counseling Studies
CAGS|Certificate of Advanced Graduate Study
CAMM|Contracts And Materials Management
Cand. Odont.|Candidate of Odontology
Cand.Odont|Candidate in Odontology
Cantab.|Cantabrigiensis (of Cambridge [Latin].
CAPA|Creative And Performing Arts
CAS|Certificate of Advanced Studies
CBMA|Certified Business Model Analyst
CCC|Certificate of Clinical Competency
CCC|China Compulsory Certification
CCC|College Credit Certificate
CCE|Computer Communication Engineering
CCFP|Certificant of the College of Family Practice
CChem|Chartered Chemist
CCRA|Certified Credit Research Analyst
CCSP|Certified Customer Service Professional
CCST|Certified Control Systems Technician
CDET|College of Distance Education and Training
CE|Civil Engineering
CENG|Chemical Engineering
CEPS|Certified Electrophysiology (EP) Specialist
Cert SAO|Certificate of Small Animal Orthopaedics
CET|Computer Engineering Technology
CF|Conceptual Framework
CGEIT|Certified in the Governance of Enterprise IT
CHA|Certified Hotel Administrator
ChB|Bachelor of Surgery
CHE|Center for Higher Education
CHES|Certified Health Education Specialist
ChM|Master of Surgery
CHRP|Certified Human Resources Professional
CIA|Certified Internal Auditor
CIA|Canadian Institute of Actuaries
CILO|Course Intended Learning Outcome
CIM|Certificate of Initial Mastery
CIM|Comunicazione Interculturale e Multimediale
CIT|Certificate in Information Technology
CLEP|College Level Examination Program
Clin.Psy.D.|Doctor of Clinical Psychology
CLIP|Computational Linguistics And Information Processing
CLN|Community Learning Network
CLS|Chemical and Life Sciences
CM|Certificate of Merit
CMA|Communication and Media Arts
CMC|Communication Master's Curriculum
CMD|Club Management Diploma
CMFA|Certified Manager of Financial Advisors
CMG|Coastal and Marine Geology
CMJ|College Music Journalism
CMLT|Certificate in Medical Laboratory Technology
CMP|Certified Meeting Professional
CMPH|Career Master of Public Health
COBC|Certificate Of Basic Competence
COTC|Certificate Of Technical Competence
COTE|Certificate For Oversaes Teachers Of English
COTE|Certificate for Overseas Teachers of English
COURAGE|Changing Our Unacceptable Reasoning And Gratification Experiences
CPE|Common Professional Examination
CPM|Certification in Pharmaceutical Management
CPOP|Certificate Program for Otolaryngology Personnel
CRA|Certified risk analyst
CRCC|Canadian Rehabilitation Counselor Certification
CS|Classical Studies
CS|Computing Studies
CSB|CHirurgiae Baccalaureus (Bachelor of Christian Science)
CSBE|Certificate in Strengths-Based Education
CSCP|Certified Supply Chain Professional
CSCS|Construction Skills Certificate Scheme
CSE|Computer Science Engineering
CSEC|Caribbean Secondary Education Certificate
CSI|Criminal Science Investigation
CSM|Cyber Security and Management
CSOM|Computer Systems: Operations & Management
CSSE|Computer Science and Software Engineering
CT|Computer Technology
CTC|Certificate of Technical Competence
CTE|Computer and Telecommunications Engineering
CTLLS|Certificate in Teaching in the Lifelong Learning Sector
D|Diploma
D|Distinction
D|Drawing
D|Doctorate
D. P. T.|Doctor of Physical Therapy
D. Sc. N.|Doctor of Science in Nursing
D.A.|Doctor of Arts
D.C.|Doctor of Chiropractic
D.C.M.|Doctor of Chiropractic Medicine
D.COM|Diploma In Commerce
D.D.|Doctor of Divinity
D.D.|Doctor of Dentistry
D.D.S.|Doctor of Dental Science Doctor of Dental Surgery
D.LITT|Doctor of Letters (Humanities)
D.Min.|Doctor of Ministry
D.Miss.|Doctor of Missiology
D.MUS.|Doctor of Music
D.O.|Doctor of Osteopathic Medicine
D.P.|Doctor of Podiatry
D.P.A.|Doctor of Public Administration
D.P.H.|Doctor of Public Health
D.pharm.|Diploma in Pharmacy
D.Phil.|Doctor of Philosophy
D.POD|Doctor of Podiatry
D.Pod.|Doctor of Podiatry
D.S.W.|Doctor of Social Welfare
D.Th.|Doctor of Theology
D.V.M.|Doctor of Veterinary Medicine
D.V.M.S.|Doctor of Veterinary Medical Science
DA|Doctor of Arts
DAc (RI)|Doctor of Acupuncture, Rhode Island
DAc (WV)|Doctor of Acupuncture, West Virginia
DAE|Diploma of Associate Engineer
DASDM|Diploma in Advanced Software Development Methodologies
DBA|Doctorate of Business Administration
DBA|Doctor of Business Administration
DBA PHD|Dosctor of Business Administration
DBH|Doctor of Behavioral Health
DBID|Diploma in Business Innovation Design
DBID|Diploma in Business Innovation and Design
DBO|Death Benefit Option
DC|Doctor of Chiropractic
DCGP|Diploma In Cyber Gateway Programme
DCH|Doctor of Child Health
DCH|Doctor of Clinical Hypnotherapy
DCH|Doctor of Clinical Health
DCH|Diploma in Child Health
DCIA|Diploma in Computerized Industrial Accounting
DCJ|Doctor of Criminal Justice
DCL|Doctor of Civil Law (Oxford University)
DCME|Diploma Of Continuing Medical Education
DD|Doctor of Divinity
DD|Double Degree
DDS|Doctor of Dental Surgery
b'DEA'|b"Dipl\x93me D'\x82tudes Approfondies"
DEAA|Diplomate of the European Academy of Anaesthesiology
DEBM|Diploma in Entrepreneurial Business Management
DEd|Doctor of Education
b'DELF'|b'Dipl\x93me D?\x82tudes en Langue Fran\x87aise'
DENG|Doctor of Engineering
DEO|District Educational Officer
DEP|Diplome d'Etude Proffessionnelle
DEPD|Diploma in Electronic Product Design
b'DESS'|b"Dipl\x93me d'Enseignement Sup\x82rieur Sp\x82cialis\x82"
DGO|Diploma in Gynecology and Obstetrics
DHL|Doctor of Humane Letters
DHMCT|Diploma In Hotel Management Catering Technolgy
DHMS|Diploma Homeophathic Medical Science
DHS|Doctor in Health Science
DHSC|Doctor of Health Science
DI|Diploma
DICE|Diploma in Instrumentation and Control Engineering
DICM|Diploma in Intensive Care Medicine
DIME|Diploma In Manufacturing Engineering
Dip FHS|Diploma in Family Historical Studies
DIPBM|Diploma in Business Management
DipFN|Diploma in Fitness & Nutrition
DipFurnDes|Diploma Of Furniture Design
DipHE|Diploma of Higher Education
DIPL-KFM|Diplom-Kaufmann
DipPM|Diploma in Project Management
DipRHM|Diploma in Restaurant & Hotel Management
DIPSBM|Diploma in Small Business Management
DIS|Doctor of Intercultural Studies
DIS|Decision Information Sciences
DISC|Digital Information Science and Communication
DIT|Diploma in Information Technology
DLA|Doctor of Liberal Arts
DLM|Diplomate in Laboratory Management
DLS|Doctor of Library Science
DM|Doctor of Management
DM|Doctor of Medicine (Engl.)
DMA|Doctor of Musical Arts
DMD|Doctor of Medical Dentistry
DMed|Doctor of Mediation
DMin|Doctor of Ministry
DMLT|Diploma in Medical Laboratory Technology
DMP|Distinguished Majors Program
DMR|Diploma in Medical Radiology
DMRD|Diploma in Medical Radio Diagnosis
DMRT|Diploma in Medical Radio Therapy
DMS|Diploma in Management Studies
DN|Diploma in Nursing
DN|Doctor of Naprapathic Medicine
DN|Doctor of Nursing
DNE|Diplomate, Navigation Engineering
DNN|Diploma in Nursery Nursing
DNP|Doctor of Nursing Practice
DO|Doctor of Osteopathic Medicine
DO|Doctor of Osteopathy
DOB|Doctorate Of Business
DOE|Diplomate, Ocean Engineering
DOM|Doctor of Oriental Medicine
DOSF|Diploma of Science Foundations
DP|Doctor of Paediatrics
DPM|Doctor of Podiatric Medicine
DPNAP|Distinguished Member of the National Academies of Practice
DProf|Doctor of Professional Studies
DPS|Doctor of Professional Studies
DPT|Doctor of Physical Therapy
DR(AM)|Doctor of Alternative Medicine
DR(AM)|Doctor (Alternative Medicine)
DR.|Doctorate
Dr. Med.|Medical Doctor
DR.ING.|Doctor of Engineering [Europe]
Dr.Med.Dent|Doctor of Medical Dentistry
Dr.Med.Dent.|Doctor of Medical Dentistry
DrNP|Doctor of Nursing Practice
DrPH|Doctor of Public Health
DSC|Doctor of SCience
DSCD|Diploma in Special Care Dentistry
b'DSCG'|b'Dipl\x93me Sup\x82rieur de Comptabilit\x82 et de Gestion'
DSN|Doctor of Science in Nursing
DSW|Doctor of Social Work
DTLLS|Diploma in Teaching in the Lifelong Learning Sector
DTLP|Diploma in Taxation Law Practices
DTM|Diploma in Tropical Medicine
Dubl.|Dublin
DVM|Doctor of Veterinary Medicine
E Date|Expiry date
E.M.|Engineer of Mines
EAS|Experimental And Applied Science
ECAD|Extra Curriculum Activity Director
ECDL|European Computer Drivers License
ECON|Economics
ECT|Electronics & Communications Technology
ED D|Education Doctorate
Ed. D|Educational Doctorate
Ed. S.|Education Specialist
ED.L.D.|Doctor of Education Leadership
Ed.S.|Educational Specialist
EDD|Economic Development District
EdD|Doctor of Education
EDRA|European Diploma in Regional Anaesthesia & Acute Pain Management
EE|Electrical Engineering
EE|Environmental Engineering
EECT|Electricity Electronics Computer Technology
EEE|Electrical and Electronic Engineering
EEM|Electrical Engineering Management
EET|Electrical Engineering Technologies
EIBM|European and International Business Management
EiL|Education is Life
ELA|English language arts
ELMT|Electro-Mechanical Technology
ELT|Elementary Laboratory Technology
EMAC|Electronic Media Arts and Communications
EMBA|Executive Masters Of Business Administration
EMCI|Eerste Monteur Communicatie Installaties
EMEM|Executive Master in Energy Management
EMGM|Executive Master of Global Management
EMIS|Engineering Management Information and Systems
EMOT|Entry Level Master's Program
EMOT|Management of Technology Executive Master's
EMP|Executive Masters Program
EMT|Emergency Medical Technician
ENV.E.|Environmental Engineer(ing)
EPIET|European Programme for Intervention Epidemiology Training
ES|English Studies
ESLC|Elementary School leaving certificate
ESM|Engineering Systems Management
ESS|Earth and Space Sciences
ET|Educational Technologies
F.Sc.|Faculty in Science (Certificate)
FAAAAI|Fellow of the American Academy of Allergy, Asthma and Immunology
FAACAP|Fellow of the American Academy of Child and Adolescent Psychiatry
FAAD|Fellow of the American Academy of Dermatology
FAAFP|Fellow of the American Academy of Family Physicians
FAAN|Fellow of the American Academy of Neurology
FAANS|Fellow of the American Association of Neurological Surgeons
FAAO|Fellow of the American Academy of Ophthalmology
FAAOHNS|Fellow of the American Academy of Otolaryngology-Head and Neck Surgery
FAAOS|Fellow of the American Academy of Orthopedic Surgeons
Faap|Fellow of the American Academy of Pediatrics
FAAPMR|Fellow of the American Academy of Physical Medicine and Rehabilitation
FACAAI|Fellow of the American College of Allergy, Asthma and Immunology
FACC|Fellow of the American College of Cardiology
FACCP|Fellow of the American College of Chest Physicians
FAcEM|Fellow of the Academy of Emergency Management
FACEP|Fellow of the American College of Emergency Physicians
FACEP|Fellow of the College of Emergency Physicians
FACEP|American College of Emergency Physicians
FACG|Fellow of the American College of Gastroenterology
FACLM|Fellow of the American College of Legal Medicine
FACNP|Fellow of the American College of Nuclear Physicians
FACOEM|Fellow of the American College of Occupational and Environmental Medicine
FACOG|Fellow of the American College of Obstetricians and Gynecologists
FACP|Fellow of the American College of Physicians
FACPM|Fellow of the American College of Preventive Medicine
FACR|Fellow of the American College of Radiology
FACS|Family And Consumer Sciences
FACS|Fellow of the American College of Surgeons
FACS|Family And Consumer Science
FAD|Fashion Art Design
FAGA|Fellow of the American Gastroenterological Association
FAGS|Fellow of the American Geriatrics Society
FAPA|Fellow of the American Psychiatric Association
FARM|Farm Agriculture And Rural Marketing
FARM|Food, Agriculture, And Rural Marketing
FAS|Field of Anthropological Study
FASA|Fellow of the American Society of Anesthesiologists
Fascp|Fellow of the American Society for Clinical Pathology
FASCRS|Fellow of the American Society of Colon and Rectal Surgeons
FASIM|Fellow of the American Society of Internal Medicine
FASNC|Fellow of the American Society of Nuclear Cardiology
FASPS|Fellow of the American Society of Plastic Surgeons
FAST|Food and Agricultural Sciences and Technology
FATS|Fellow of the American Thoracic Society
FCAP|Fellow of the College of American Pathologists
FCE|First Certificate Examination
FCPS|Fellow of College Physicians and Surgeons
FCS|Family and Child Studies
FCS|Family And Consumer Sciences
FDAD|Foundation Diploma in Architecture & Design
FES|Forestry & Environmental Studies
FIBS|Finnish International Baccalaureate Society
FIM|Food Industry Management
FLS|Fellow of the Linnean Society
FM|Film and Music
FMG|foreign medical graduate
FNATA|Fellow of the National Athletic Trainers' Association
FNC|Frogans Network Certificate
For.Od.|Forensic Odontology
FPAMS|Fellow, Pakistan Academy of Medical Sciences
FRCAM (Dublin)|Fellow , Royal College of Alternative Medicine (Dublin)
FRCP|Fellow of the Royal College of Physicians
FRCPE|Fellow of the Royal College of Physicians of Edinburgh
FRCSE|Fellow of the Royal College of Surgeons of England
FRCST|Fellow of the Royal College of Surgeons of Thailand
FRS|Fellow of the Royal Society
FS|Forensic Science
FSc|Faculty of Science
FSC|Foundation in Science Certificate
FSNM|Fellow of the Society of Nuclear Medicine
FSR|Fellow of the Society of Radiographers
FVP|Film And Video Production
FVPT|Film and Video Production Technology
FZS|Fellow of the Zoological Society
GAP|Graduate And Professional
GATT|A Global Arrangement For Tax Treaties
GCCE|Graduate Certificate in Counselor Education
A.B.|Artium Baccalaureaus
A.M.T|Master of Arts in Teaching
A.Mus.A.|Associate in Music, Australia
A2|Advanced Level 2 (UK educational qualification)
AA|Associate of Arts
AA|Associate in Arts
AA DIP|Antillean Academy DIPloma
AA DIP|Architectural Association Diploma
AAA|Asian Art Appreciation
AAAS|African and African American Studies
AAD|Antillean Academy Diploma
AAFPRS|Fellow of the American Academy of Facial Plastic and Reconstructive Surgery
AAGS|Associate of Arts in General Studies
AAS|Associate of Applied Sciences
AAS|Associate in Applied Science
AASET|Associate of Applied Science in Electrical Technology
AAV|AQIS Accredited Vet
AB|Ars Bachelor
ABA|Associate in Business Administration
ABE|Agricultural Biological Engineering
ABE|Agricultural and Biological Engineering
Aberd.|Aberdeen (Aberdonensis) [Latin]
Aberd.|Aberdonensis (Aberdeen) [Lat.]
ABib|Associate of Bible
ABIM|American Board of Internal Medicine
ABS|Associate in Business Science
ABS|Associate in Business Studies
ABS|Associate in Baccalaureate Studies
ABS|Accelerated Bachelor of Science
ABT|All But Thesis
AC|Applied Communications
ACCP|Addictions Counseling Certificate Program
ACES|Agriculture, Consumer, and Environmental Sciences
ACID|Atomicity Consistency Isolation Durability
ACRL|Advanced Certificate in Rowing Leadership
ACSC|Alabama Controlled Substances Certificate
AD|Associate Degree
ADE|Associate Degree in Education
ADFD|Advance Diploma in Fashion Designing
ADN|Associate Degree in Nursing
ADP|Approved Degree Plan
ADSD|Advanced Diploma in Software Development
ADSE|Advanced Diploma of Software Engineering
AEJ|Associate for Education in Journalism
AFA|Associate in Fine Arts
AFCS|Applied Family and Child Studies
AFPC|Advanced Financial Planning Certificate
AFS|Africana Studies
AGDP|Accelerated Graduate Degree Programs
AGDP|Acquisition Graduate Degree Program
AGGP|Animation and Graphic Game Programming Degree
AHA|Art History and Architecture
AHA|Academics Highly Achieved
AHM|Assistant Headmaster
AHM|Assistant Headmistress
AISM|Associate of Indian School of Mines
AIT|Applied Information Technology
AJD|Accelerated Juris Doctorate
AJP|Accredited Jewelry Professional
AK|Applied Kinesiology
AKC|Associate of King's College
AM|Artium Magister (Master of Arts)
AMBA|Accelerated Masters in Business Administration
AMIE|Associate Member of Indian Engineers
AMO IN PAF|army medical officer 'REDUCTION IN-FORSE' ARM4CEMD
AMTC|Agency Management Training Certification
AMusD|Doctor of Musical Arts
AOA|alpha omega alpha
AOS|Associate in Occupational Studies
APA|Australian Postgraduate Award
APAV|Accreditation Program for Australian Veterinarians
APD|Accredited Practicing Dietitian (Australia)
APSM|Applied Physiology and Sport Management
ARCS|Associate(-ship) of the Royal College of Science
ARCT|Associate of the Royal Conservatory of Toronto
ARE|Academic Research and Engineering
ARTHIST|Art History
ARTSVIS|Visual Arts
AS|Associate of Science
AS|Advanced Subsidiary
ASE|Adult Secondary Education
ASES|Associate of Science in Engineering Science
ASET|Applied Science Engineering and Technology
ASN|Associate of Science in Nursing
AST|Associate in Specialized Technology
AST|Agricultural Systems Technology
ATCP|Agriculture, Trade, and Consumer Protection
ATD|Art Teaching Diploma
ATOL|Air Travel Orgainsers License
AU.D.|Doctor of Audiology
Aud. D.|Doctor of Audiology
AVCE|Advanced Vocational Certificate of Education
B Agr Sc|Bachelor of Agricultural Science
B. Ch. D.|Bachelor of Dental Surgery
B. Com|Bachelor of Commerce
B. D Sc.|Bachelor of Dental Science
B. D. M.|Bachelor of Dental Medicine
B. Dent. Sc.|Bachelor of Dental Science
B. LIB. STUD.|Bachelor of Library Studies
B. Optom.|Bachelor of Optometry
B. Pharm.|Bachelor of Pharmacy
B. Pod.|Bachelor of Podiatry
B.A.|Bachelor of Arts
B.A.M.|Bachelor of Applied Mathematics
B.Arch.|Bachelor of Architecture
B.B.A.|Bachelor of Business Administration
B.C.L.|Bachelor of Canon Law
B.Ch.D.|Bachelor of Dental Surgery
B.Ch.E|Bachelor of Chemical Engineering
B.CHIR.|Bachelopr of Surgery [Lat.]
B.D.M.|Bachelot of Dental Medicine
B.D.M.|Bachelor of Dental Medicine
B.D.S.|Bachelor of Dental Science
B.D.S.|Bachelor of Dental Surgery
B.D.Sc.|Bachelor of Dental Science
B.Dent.|Bachelor of Dentistry
B.Dent.S|Bachelor of Dental Surgery
B.Dent.S.|Bachelor of Dental Surgery
B.Dent.Sc.|Bachelor of Dental Science
B.E.|Bachelor of Engineering
B.Ec.|Bachelor of Economics
B.Ed|Bachelor of Education
B.J.|Bachelor Of Journalism
B.L.|Bachelor of Laws
B.L.I.S.|Bachelor of Library & Information Science
B.LI.S.|Bachelor Of Library Science
B.LIT.|Bachelor Of Literature Science
B.M.|Bachelor of Medicine
B.M.|Bachelor of Music
B.M.,B.S.|Bachelor of Medicine,Bachelor of Surgery
B.M.S.|Bachelor of Machine Science
B.M.S.|Bachelor of Marine Science
B.O.H.D.Sc.|Bachelor of Oral Health in Dental Science
B.OPT|Bachelor of Optometry
B.R.E.|Bachelor of Religious Education
B.S.BM.E.|Bachelor of Science in Biomedical Engineering
B.S.P.T.|Bachelor of Science in Physical Therapy
B.Sc.|Bachelor of Science
B.Sc.P.T.|Bachelor of Science in Physical Therapy
B.SOC.SCI|Bachelor of Social Science
B.TECH.|Bachelor of Technology
B.Th.|Bachelor of Theology
B.V.M.S.|Bachelor of Veterinary Medical Science
B.V.S.|Bachelor of Veterinary Science
B.V.Sc.|Bachelor of Veterinary Science
B.V.SC.&A.H.;|Bachelor of Veterinary Science and Animal Husbandry
BA|Business Administration
BA|Bachelor of Attendance
BA|Bachelor of Arts
BAAE|Bachelor of Aeronautical and Astronautical Engineering
BAAS|Bachelor of Applied Arts and Sciences
BACS|Bachelor of Administrative and Commercial Studies
BACY|Bachelor of Accountancy
BADS|Bachelor of Arts Development Studies
BAE|Bachelor of Architectural Engineering
BAEE|Bachelor of Arts in Elementary Education
BAILS|Bachelor of Arts In Liberal Studies
BAMS|Bachelor of Ayurvedic Medicine and Surgery
BAPSC|Bachelor of Applied Science (Engineering)
BAPW|Bachelor of Arts in Professional Writing
BARCH|Bachelor of Architecture
BASB|Bachelor of Accounting and Sustainable Business
BASLP|Bachelor Of Audio Speech Language Pathology
BAVI|Bachelor of Applied Visual Imaging
BBA|Bachelor of Business Administration
BBA|Bachelor of Business Administraion
BBAE|Bachelor of Business Administration and Engineering
BBE|Bachelor of Business Education
BBEF|Bachelor of Business Economics and Finance
BBI|Bachelor of Banking & Insurance
BBIS|Bachelor of Business Information Systems
BBL|Bachelor of Business Laws
BBM|Bachelor of Business Management
BBSc|Bachelor of Behavioural Science
BBus|Bachelor of Business
BCA|Bachelor of Computer Applications
BCBB|Bachelor of Commerce and Bachelor of Business double degree
BCCP|Business Continuity Certified Planner
BCD|Board Certified Diplomate in Clinical Social Work
BCE|Bachelor of Computer Engineering
BCE|Bachelor of Chemical Engineering
BCE|Bachelor of Civil Engineering
BCE|Bio-Chemical Engineering
BCIS|Bachelor of Computer Information Systems
BCIT|Bachelor in Computer sciences and Information Technology
BCL|Bachelor of Civil Law
BCMP|Biology, Chemistry, Math, And Physics
BCom|Bachelor of Commerce
BCOM|Bachelor of Communications
BCOMM|Bachelor of Commerce
BCS|Bachelor of Computer Science
BD|Bachelor's Degree
BDent|Bachelor of Dentistry
BDES|Bachelor of Design
BDiv|Bachelor of Divinity
BDM|Bachelor of Dental Medicine
BDM|Bachelor of Digital Media
BDMS|Bimap Diploma in Management Studies
BDS|Bachelor of Dental Surgery
BDSc|Bachelor of Dental Science
BE|Bachelor of Engineering
BEAT|Biomedical and Environmental Agriculture Technology
BEC|Business English Certificate
BED|Bachelor of Education
BEMA|Biomedical Engineering Materials And Applications
BENG|Bachelor of Engineering
BES|Bachelor Of Electronic Science
BES|Bachelors of Environmental Studies
BES|Bachelor of Environmental Science
BES|Bachelor of Environmental Studies
BFA|Bachelor of Fine Arts
BFor.Od.|Bachelor of Forensic Odontology
BFPSD|Business Financial Planning Specialist Diploma
BFSC|Bachelor of Forensic Science
BGS|Bachelor of General Studies
BHA|Bachelor of Hotel Administration
BHA|Bachelor in Health Administration
BHE|Blissborn Hypnosis Educator
BHK|Bachelor of Human Kinetics
BHL|Bachelor of Hebrew Literature
BHM|Bachelor of Hotel Management
BHMS|Bachelor of Medicine and Surgery
BHMS|Bachelor of Homeopathic Medicine and Surgery
BHND|Bachelor of Science in Human Nutrition and Dietetics
BHS|Bachelor in Health Science
BHS|Bachelor in/of Health Science(s)
BIB|Bachelor of International Business
BIBF|Bachelor of Intrenational Business and Finance
BID|Bachelor of Industrial Design
BIDP|Business Internship Diploma Program
BIOCHEM|Biochemistry
BIS|Bachelor of Information Sciences
BIS|Bachelors of Interdisiplinary Studies
BJ|Bachelor of Journalism
BJC|Bahamas Junior Certificate
BL|British Literature
BLA|Bachelor of Landscape Architecture
BLDG|Building Levels for Descent Guild
BLISc|Bachelor of Library and Information Science
BM|Bachelor Medicinae
BM|Bachelor of Music
BM BCh|Bachelor of Medicine & Bachelor of Surgery [Lat.]
BMATH|Bachelor of Mathematics
BMBS|Bachelor of Medicine & Bachelor of Surgery
BME|Biomedical Engineering
BME|Biomolecular Engineering
BME|Bachelor of Mechanical Engineering
BME|Bachelor of Music Education
BMed|Bachelor of Medicine
BMEDSC|Bachelor of Medical Science(s)
BMedSci|Bachelor of Medical Science(s)
BMET|Biomedical Engineering Technology
BMMC|Bachelor Multimedia Communication
BMOS|Bachelors of Management and Organizational Studies
BMS|Bachelor of Management Studies
BMS|Bachelor of Medical Sciences
BMUS|Bachelor of Music
BNAD|Bachelor of Nursing After Degree
BNBP|Bachelor of Nursing/Bachelor of Paramedicine
BNYS|Bachelor of Naturopathy and Yogic Science
BO|Bachelor of Osteopathy
BOccThy|Bachelor of Occupational Therapy
BOH|Bachelor of Oral Health
BOHDSc	|Bachelor of Health in Dental Science
BOHDSc|Bachelor of Health in Dental Science
BOSS|Bachelor Of Social Service
BP|Bachelor of Pharmacy
BPA|Bachelor of Performing Arts
BPBA|Bachelor Programme in Business Administration
BPE|Bachelor of Physical Education
BPED|Bachelor of Physical Education Degree
BPH|Bachelor of Public Health
BPHARM|Bachelor of Pharmacy
BPPE|Bachelor of Politics, Philosophy and Economics
BPPE|Bachelor of Power Plant Engineering
BPS|Bachelor Professional Studies
BPT|Bachelor of PhysioTherapy
BPT|Bachelor Education of Physio Therapy
BPTh|Bachelor of Physio Therapy
BS|Bachelor of Science
BS|Biomedical Sciences
BS|Business Studies
BSA|Bachelor of Science in Agriculture
BSA|Bachelor of Science in Accountancy
BSB|Bachelor of Science in Biology
BSB|Bachelor of Science in Business
BSBA|Bachelor of Science in Business Administration
BSBM|Bachelor of Science in Business Management
BSBS|Bachelor of Science in Business Strategy
BSC|Bachelor of SCience
BSC|Bachlor of Science
BSC(AGR)|Bachelor of Science in Agriculture
BScB|Bachelor of Science in Business
BSCD|Bachelor of Science Degree
BSCD|Bachelor of Science in Community Development
BSCE|Bachelor of Science in Computer Engineering
BSCF|Bachelor of Science in Computation Finance
BSCFD|Bachelor of Science in Fashion Design
BSCIS|Bachelor of Science in Computer Information Systems
BSCM|Bachelor of Science in Construction Management
BSCN|Bachelor of Science in Nursing
BSCS|Bachelor of Science in Computer Science
BSE|Bachelor of Science in Engineering
BSED|Bachelor of Science in Education
BSEE|Bachelor of Science in Electrical Engineering
BSEET|Bachelor of Science in Electrical Engineering Technology
BSESE|Bachelor of Science in Environmental and Sanitary Engineering
BSGS|Bachelor of Science in General Studies
BSHMP|Bachelor of Science in Healthcare Management and Policy
BSHS|Bachelor of Science in Human Services
BSHS|Bachelor of Science in Health Sciences
BSIT|Bachelor of Science in Information Technology
BSJ|Bachelor of Science in Journalism
BSLE|Bachelor of Science in Leadership Engineering
BSLM|Bachelor of Science in Legal Management
BSMC|Bachelor of Science in Mass Communication
BSME|Bachelor of Science in Mechanical Engineering
BSME|BS/Mechanical Engineering
BSME|Bachelor of Science Mechanical Engineering
BSMS|Bachelor of Siddha Medicine & Surgery
BSN|Bachelor of Science, Nursing
BSN|Bachelor of Science in Nursing
BSNA|Bachelor of Science in Nursing Administration
BSNE|Bachelor of Science in Network Engineering
BSNM|Bachelor of Science in Nuclear Medicine
BSOA|Bachelor of Science in Office Administration
BSPH|Bachelor of Science in Public Health
BSRT|Bachelor of Science in Radiologic Technology
BSSB|Broadcasting Satellite Service Band
BSSHM|Bachelor of Science in Sustainable Hospitality Management
BSTM|Bachelor of Science Technical Management
BSW|Bachelor of Social Work
BT|Bachelor of Technology
BTA|"Been to America"
BTAD|Bachelor of Technology in Applied Design
BTAE|Bachelor of Technology Aerospace Engineering
BTD|Bachelor in Textile Design
BTECH|Bachelor of Technology
BTED|Bachelor of Teacher Education
BTH|Bachelor in Theology
BTM|Business Technology Management
BTR|Bachelors of Therapeutic Recreation
BTS|Bachelor in Tourism Studies
BTS|Bachelors in Tourism Science
BTTE|Bachelor in Technical Teacher Education
BTTL|Bachelor of Technology (Trade and Technology Leadership)
BTTM|Bachelor in Tourism and Travel Management
BTTM|Bachelor of Travel and Tourism Management
BTTS|Bachelor of Travel and Tourism Studies
BUMS|Bachelor Of Unani Medicine And Surgery
BVetMed|Bachelor of Veterinary Medicine
BVMS|Bachelor of Veterinary Medicine and Surgery
BVS|Bachelor Of Veterinary Science
BVS|Bachelor of Veterinary Surgery
BVSc|Bachelor of Veterinary Science
BVScAH|Bachelor of Veterinary Science and Animal Husbandry
C.Ed.A.|Associate Degree in Christian Education
C.Ed.B.|Bachelor Degree in Christian Education
C.Ed.D.|Doctor of Christian Education
C.Ed.M.|Master of Christian Education
CAC|Certified Addiction Counselor
CACS|Certificate of Advanced Counseling Studies
CAGS|Certificate of Advanced Graduate Study
CAMM|Contracts And Materials Management
Cand. Odont.|Candidate of Odontology
Cand.Odont|Candidate in Odontology
Cantab.|Cantabrigiensis (of Cambridge [Latin].
CAPA|Creative And Performing Arts
CAS|Certificate of Advanced Studies
CBMA|Certified Business Model Analyst
CCC|Certificate of Clinical Competency
CCC|China Compulsory Certification
CCC|College Credit Certificate
CCE|Computer Communication Engineering
CCFP|Certificant of the College of Family Practice
CChem|Chartered Chemist
CCRA|Certified Credit Research Analyst
CCSP|Certified Customer Service Professional
CCST|Certified Control Systems Technician
CDET|College of Distance Education and Training
CE|Civil Engineering
CENG|Chemical Engineering
CEPS|Certified Electrophysiology (EP) Specialist
Cert SAO|Certificate of Small Animal Orthopaedics
CET|Computer Engineering Technology
CF|Conceptual Framework
CGEIT|Certified in the Governance of Enterprise IT
CHA|Certified Hotel Administrator
ChB|Bachelor of Surgery
CHE|Center for Higher Education
CHES|Certified Health Education Specialist
ChM|Master of Surgery
CHRP|Certified Human Resources Professional
CIA|Certified Internal Auditor
